id_i,id_j,similitud_ponderada
0,1,0.24518513204730588
0,2,0.1916477924349835
0,3,0.7093099000573078
0,4,0.3782455532033676
0,5,0.23049193338482962
0,6,0.7804919333848297
0,7,0.4649880552968958
0,8,0.19168381514663546
0,9,0.11804799357567496
0,10,0.21735443662549245
0,11,0.4545718010935199
0,12,0.10120261150348442
0,13,0.5304919333848296
0,14,0.17167675766523896
0,15,0.02990711984999859
0,16,0.4126491106406735
0,17,0.017888543819998316
0,18,0.15667675766523897
0,19,0.15839191898578664
0,20,0.03049193338482966
0,21,0.3195701085237043
0,22,0.5898295006822362
0,23,0.09350095463129705
0,24,0.17191328962213917
0,25,0.23049193338482962
0,26,0.013805369799252667
0,27,0.2950788512372886
0,28,0.2654919333848297
0,29,0.13049193338482964
0,30,0.11183479014007854
0,31,0.09666512926875807
0,32,0.2804919333848297
0,33,0.319070466877983
0,34,0.75
0,35,0.030185132047305926
0,36,0.17812649305773562
0,37,0.4281264930577356
0,38,0.2827097756848198
0,39,0.5983585976579234
0,40,0.1142158594058462
0,41,0.03557690036478858
0,42,0.29596198722275485
0,43,0.1745602555529048
0,44,0.38187322975464216
0,45,0.10702018651284748
0,46,0.05084727244415704
0,47,0.1931834843362502
0,48,0.11183479014007854
0,49,0.4252290545674105
0,50,0.2683547949131987
0,51,0.03025540142792947
0,52,0.21716232660642062
0,53,0.4414213562373095
0,54,0.2288719664654526
0,55,0.316
0,56,0.17191328962213917
0,57,0.2802554014279295
0,58,0.15691328962213918
0,59,0.4755450139866598
0,60,0.2802554014279295
0,61,0.4832574185835055
0,62,0.09217435432445696
0,63,0.2867051368204261
0,64,0.10120261150348442
0,65,0.11525540142792945
0,66,0.24660909597074795
0,67,0.48176232709846983
0,68,0.11214159147760228
0,69,0.15691328962213916
0,70,0.0908946638440411
0,71,0.5449071198499985
0,72,0.473775792862802
0,73,0.14872747242143072
0,74,0.2867051368204261
0,75,0.17167675766523896
0,76,0.15443718370642887
0,77,0.6669705627484772
0,78,0.26569463883627475
0,79,0.4845004802121948
0,80,0.19379124957037488
0,81,0.7588565097578797
0,82,0.14596198722275483
0,83,0.3455999898288601
0,84,0.015491933384829671
0,85,0.11214159147760228
0,86,0.4112555929595771
0,87,0.4805231034929042
0,88,0.1271415914776023
